trajectory,step,t,x,v,scenario,m,c,k_slg,k_slg_role,g_global,e,x0,v0,ground,k_g,c_g,split
0,19,0.38,0.49471183330300805,-0.3609950595729913,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,20,0.4,0.48723624906813057,-0.38644445215984646,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,21,0.42,0.479258887218625,-0.41116908458492823,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,22,0.44,0.47079446345906356,-0.435147091532426,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,23,0.46,0.46185811966417606,-0.4583577236028006,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,24,0.48,0.4524654014274318,-0.48078136037547464,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,25,0.5,0.44263223536316,-0.5023995219924201,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,26,0.52,0.4323749061917777,-0.5231948792642671,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,27,0.54,0.42171003363764364,-0.543151262302298,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,28,0.56,0.4106545491689722,-0.56225366768141,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,29,0.58,0.39922567260912345,-0.5804882641408236,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,30,0.6,0.3874408886484327,-0.5978423968309827,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
